,Address,Body
467,JD-FTHELT,"Full body check-up (69 Tests) @ Rs.699

Includes Tests for Thyroid, Sugar, Liver, Kidney & more!

Sample collected @ Home

Book now  hero360.in/gOW5x  -FTHELT"
468,AIRTEL,अलर्ट! एयरटेल कभी भी 10 अंक वाले मोबाइल नंबर से आपके अकाउंट/सिम अपडेट के लिए कोई भी KYC से सम्बंधित SMS नहीं भेजता है| ऐसी धोखाधड़ी से सावधान रहें और कॉल पर कभी भी कोई OTP/कोड शेयर ना करें|
469,VM-UNIONB,Your SB A/c *1487 Credited for Rs:61445 on 12-04-2022 13:10:03 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN122102247551 Avl Bal Rs:383598.11 -Union Bank of India
470,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
471,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
472,AY-AIRTEL,90% Alert:You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
473,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
474,JM-HDFCBK,"779628 is your OTP for HDFC Bank IPIN regeneration.
NEVER share OTP"
475,AX-HDFCBK,This is to inform you that your IPIN has been successfully reset by you online using HDFC Bank's NetBanking services.
476,AX-HDFCBK,Please note that your attempt for resetting your IPIN online using HDFC Bank's NetBanking services has failed since Card not mapped to given userid
477,TX-PHONPE,04217 is your one time password to proceed on PhonePe. It is valid for 10 minutes. Do not share your OTP with anyone. XC1xEZ+TDtj
478,08976938402,PHONEPE-SMS-VERIFY a96ed7644a9b41e5681ece3c2c7d38eb2f9eaf5dc6bc3e0ac4ab9a7739fa48a2
479,TM-PHONPE,Dear ******8797. You have successfully registered your PhonePe account on this device.
480,TM-PHONPE,"You have initiated the registration for UPI payments on PhonePe. If this is not you, please report it to your bank immediately to avoid any loss of money."
481,JM-HDFCBK,HDFC Bank: OTP is 521393 to set 4 digit UPI PIN. Please do not share this OTP with anyone. #FightTheFrauds  http://bit.ly/2ABpsFn
482,JM-HDFCBK,HDFC Bank: OTP is 027707 to set 4 digit UPI PIN. Please do not share this OTP with anyone. #FightTheFrauds  http://bit.ly/2ABpsFn
483,AX-HDFCBK,"HDFC Bank: You have successfully set the UPI Pin for your HDFC Bank A/c No.  XXXXXX2346. If not you, kindly report on 18002586161."
484,AX-HDFCBK,HDFC Bank: Rs 10.00 debited from a/c **2346 on 15-04-22 to VPA 7415822208@ybl(UPI Ref No 210584451164). Not you? Call on 18002586161 to report
485,AX-HDFCBK,HDFC Bank: Rs. 500.00 credited to a/c XXXXXX2346 on 15-04-22 by a/c linked to VPA 7415822208@ybl (UPI Ref No  210568520847).
486,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
487,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
488,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
489,QP-MYCRKT,"Congrats 810910XXXX, Get Rs.1500 Welcome Bonus. LSG vs BLR #T20 Match on My11 Circle
Prize Pool - Rs.4,88,00000/-
Entry fee 49/-
Click - ol8.in/s/6Hy0qiCacf WIN"
490,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
491,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
492,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
493,AY-AIRTEL,90% Alert:You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
494,AY-AIRTEL,"100% ALERT:You've used 100% of your daily highspeed data limit. Speed is now reduced to 64Kbps. For data packs, click i.airtel.in/Rcharge"
495,JD-ELECNN,"Congrats 81091087XX

BLR vs HYD T20 Match Today !

Receive Rs.1500 Bonus !

Download MY11CIRCLE App

Play: 2.15 CRORE + AUDI CAR

zx6.in/oCQ/gkjTWlO BE Team"
496,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
497,AY-AIRTEL,90% Alert:You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
498,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
499,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
500,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
501,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
502,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
503,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
504,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
505,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
506,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
507,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
508,AX-UNIONB,Your SB A/c *1487 Credited for Rs:61445 on 04-05-2022 10:02:08 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN322124395445 Avl Bal Rs:445043.11 -Union Bank of India
509,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
510,AZ-AIRTEL,Aapka Airtel Pack 12-May-22 tak manya hai. Aaj hi unlimited pack se recharge karein. Naye pack ki validity  ke baad hi shuri hogi: i.airtel.in/FDPNew
511,AZ-AIRTEL,Aapke Airtel Pack ki validity 12-May-22 tak hai.Recharge na hone par sewayein band ho sakti hain.Recharge karein: i.airtel.in/FDPNew. Kar lia hai toh ignore karein
512,AIRTEL,"फ़्रॉडुलेंट कॉल, सोशल मीडिया पोस्ट या Whatsapp मैसेज से सावधान रहें जो KYC मांगते हैं, गिफ्ट्स या नकद का दावा करते हैं। किसी भी OTP को साझा न करें या ऐसे लिंक पर क्लिक न करें।"
513,AZ-AIRTEL,Aapke Airtel Pack ki validity kal samapt hogi. Recharge na hone par outgoing sewa band ho jaegi. Recharge karein: i.airtel.in/FDPNew . Kar lia hai toh ignore karein
514,CP-MSASER,"Dear 81091087XX,

You are selected for Rs.5250 directly in your Account !!

Register To Use

zx6.in/odO/qTBzfmd MSA"
515,AIRDOT,"अगर आपके पास कोई अंतरराष्ट्रीय कॉल आई है, जिसमें दर्शाया गया नंबर भारतीय है या कोई भी नंबर नहीं दर्शाया गया है, तो कृप्या इसकी जानकारी DoT टोल फ्री नंबर 1800110420/1963 पर दें।"
516,AZ-AIRTEL,Aapka Airtel Pack aaj samapt ho jaega. Sewa jaari rakhne ke liye Unlimited pack se recharge karein: i.airtel.in/FDPNew . Recharge kar liya toh ignore kare
517,AIRTEL,बधाई हो! हमने your area में नेटवर्क को बेहतर किया है| अब आप तेज़ डाटा स्पीड और बेहतर नेटवर्क कवरेज का आनंद लें सकते हैं| एयरटेल का सुपीरियर नेटवर्क चुनने के लिए धन्यवाद|
518,AZ-AIRTEL,Alert! Airtel No.8109108797 ki Outgoing/data sewayen band hai. Sewa shuru karein Unlimited Pack se recharge kar i.airtel.in/FDPNew Recharge kia toh ignore karein
519,Airtel,"Recharge of Rs INR479.00 is successful for your Airtel Mobile on 13-05-2022 16:58, Transaction ID 1747170505.Check your balance, validity, tariff and best recharges on Airtel Thanks App - u.airtel.in/App"
520,AD-Airtel," Hi, recharge of Rs. 479 successfully credited to your Airtel number 8109108797, also the validity has been extended till 07-07-2022."
521,CP-HDFCBK,HDFC Bank: Rs 481.00 debited from a/c **2346 on 13-05-22 to VPA AIRTELPREDIRECT1@ybl(UPI Ref No 213311078598). Not you? Call on 18002586161 to report
522,Airtel,"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1.5GB data and 100 SMS. Pack valid for 56 days.Also get 30 days of free trial of Amazon Prime Video Mobile Edition with your recharge, T&C apply. Claim now u.airtel.in/PVME"
523,AD-WYNKED,Your FREE access to Wynk Premium is ACTIVE. Enjoy Ad free music with unlimited downloads & unlimited hello tunes: bit.ly/WynkPlat
524,+918435314744,thodi der me karta hu call
525,VM-UNIONB,Your SB A/c *1487 Debited for Rs:59000 on 02-06-2022 13:45:00 by Chq no.33125026 Avl Bal Rs:386043.11 -Union Bank of India
526,AX-UNIONB,Your SB A/c *1487 Credited for Rs:61445 on 02-06-2022 19:03:08 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN522153895404 Avl Bal Rs:447488.11 -Union Bank of India
527,+919691780668,I'll call you back later.
528,TRAIND,ध्यान रखें कि TRAI मोबाइल टॉवर लगाने के लिए NOC जारी नहीं करता है। यदि कोई धोखे से आपको इस तरह के पत्र के साथ संपर्क करता है तो यह विषय संबंधित मोबाइल सेवा प्रदाता को सूचित किया जा सकता है।
529,503501,Your Discord verification code is: 891470
530,51458,Your Discord verification code is: 360285
531,VM-HDFCBK,HDFC Bank: Rs 4000.00 debited from a/c **2346 on 12-06-22 to VPA kanungoak@okaxis(UPI Ref No 216300241613). Not you? Call on 18002586161 to report
532,VM-HDFCBK,HDFC Bank: Rs. 4000.00 credited to a/c XXXXXX2346 on 12-06-22 by a/c linked to VPA 7415822208@ybl (UPI Ref No  216372058565).
533,AY-AIRTEL,हम हर दिन बेहतर हो रहे हैं! जल्द ही GAYTRI VIHAR-DEWAS में AIRTEL नेटवर्क अपग्रेड होने वाला है। आनंद लें बेहतर स्पीड का एयरटेल के बेहतरीन नेटवर्क के साथ। एयरटेल का बेहतरीन नेटवर्क चुनने के लिए धन्यवाद|
534,BW-MSATSE,"Dear 81091087XX,

Your account has been Credited with Rs. 8850

Register For Free

zx6.in/yyj/36Pnz5e MSA"
535,BP-UNIONB,"Dear customer, Install NXT app https://tinyurl.com/2p9a8v3t and get Pre-Approved Personal Loan & other banking facilities on your phone. Union Bank of India"
536,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App: i.airtel.in/Rcharge
537,AY-AIRTEL,90% Alert:You have consumed 90% of your daily high Speed Data limit. Track usage on Airtel Thanks App: u.airtel.in/Data90
538,AD-AIRTEL,"Beware of fraudulent calls, social media posts or Whatsapp messages asking for KYC, claiming gifts or cash. Don't share any OTP or click on any of the links."
539,BP-UNIONB,"Dear customer, Install NXT app https://tinyurl.com/2p9a8v3t and get Pre-Approved Personal Loan & other banking facilities on your phone. Union Bank of India"
540,+919893422479,Net katam ho gaya 😅
541,+919893422479,12 baje tak send krta hu
542,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App u.airtel.in/Data90
543,BP-UNIONB,"Dear customer, Install NXT app https://tinyurl.com/2p9a8v3t and get Pre-Approved Personal Loan & other banking facilities on your phone. Union Bank of India"
544,AX-UNIONB,"Dear customer, Install NXT app https://tinyurl.com/2p9a8v3t and get Pre-Approved Personal Loan & other banking facilities on your phone. Union Bank of India"
545,AY-AIRTEL,हम हर दिन बेहतर हो रहे हैं! जल्द ही GAYTRI VIHAR-DEWAS में AIRTEL नेटवर्क अपग्रेड होने वाला है। आनंद लें बेहतर स्पीड का एयरटेल के बेहतरीन नेटवर्क के साथ। एयरटेल का बेहतरीन नेटवर्क चुनने के लिए धन्यवाद|
546,AZ-AIRTEL,Aapka Airtel Pack 07-Jul-22 tak manya hai. Aaj hi unlimited pack se recharge karein. Naye pack ki validity is pack ke baad hi shuri hogi i.airtel.in/FDPNew
547,AZ-AIRTEL,Aapke Airtel Pack ki validity 07-Jul-22 tak hai.Recharge na hone par sewayein band ho sakti hain.Recharge karein: i.airtel.in/FDPNew. Kar lia hai toh ignore karein
548,BG-UNIONB,Your SB A/c *1487 Credited for Rs:61445 on 05-07-2022 15:14:45 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN522186389304 Avl Bal Rs:511868.41 -Union Bank of India
549,AZ-AIRTEL,Aapke Airtel Pack ki validity kal samapt hogi. Recharge na hone par outgoing sewa band ho jaegi. Recharge karein: i.airtel.in/FDPNew . Kar lia hai toh ignore karein
550,AD-ARWINF,Congratulations! We have credited 1GB FREE DATA coupon to your account. Claim now on the Airtel Thanks App before the coupon expires. i.airtel.in/freedata
551,Airtel,"Recharge of Rs INR719.00 is successful for your Airtel Mobile on 07-07-2022 12:38, Transaction ID 929558656.Check your balance, validity, tariff and best recharges on Airtel Thanks App - u.airtel.in/App"
552,AD-ARTLTV,"Congratulations on your recent recharge of Xstream mobile pack. Enjoy 84 DAYS of access to live sports, blockbusters movies and web-series like Nirmal Pathak Ki Ghar Wapasi,Gullak 3,Rocket Boys S1 & more on your Airtel Xstream app at no extra cost. To claim your benefit download the latest version of Airtel Xstream app https://open.airtelxstream.in/WCF719"
553,AD-Airtel,"Hi, recharge of Rs. 719 successfully credited to your Airtel number 8109108797, you pack will start from 08-07-2022 and will be valid till 29-09-2022. Your recharged plan will automatically get activated after expiry of your current plan"
554,AD-ARTLTV,"<#> Hi, 1036 is your OTP for Airtel Xstream App. Enjoy unlimited entertainment, anytime, anywhere! 
/Jx fMTkPkw"
555,AZ-AIRTEL,Aapka Airtel Pack aaj samapt ho jaega. Sewa jaari rakhne ke liye Unlimited pack se recharge karein: i.airtel.in/FDPNew . Recharge kar liya toh ignore kare
556,AD-ARTLTV,"<#> Hi, 2754 is your OTP for Airtel Xstream App. Enjoy unlimited entertainment, anytime, anywhere! 
/Jx fMTkPkw"
557,TM-HDFCBK,HDFC Bank: Rs 3000.00 debited from a/c **2346 on 08-07-22 to VPA kanungoak@okaxis(UPI Ref No 218918104852). Not you? Call on 18002586161 to report
558,JM-HDFCBK,HDFC Bank: Rs. 3000.00 credited to a/c XXXXXX2346 on 09-07-22 by a/c linked to VPA 7415822208@ybl (UPI Ref No  219076352100).
559,AD-ARWINF,Congratulations! We have credited 1GB FREE DATA coupon to your account. Claim now on the Airtel Thanks App before the coupon expires. i.airtel.in/freedata
560,VD-UnionB,"Dear customer, Install NXT app https://tinyurl.com/2p9a8v3t and  get Pre-Approved Personal Loan & other banking facilities on your phone. Union Bank of India"
561,VD-UnionB,"Dear customer, Install NXT app https://tinyurl.com/2p9a8v3t and  get Pre-Approved Personal Loan & other banking facilities on your phone. Union Bank of India"
562,AD-ARWINF,Congratulations! We have credited 1GB FREE DATA coupon to your account. Claim now on the Airtel Thanks App before the coupon expires. i.airtel.in/freedata
563,AD-AIRDOT,Don't click on suspicious link or download App that promises fake part/full time jobs.
564,AD-ARWGOV,"एक देश, एक भाव, एक पहचान हमारी, इस 15 अगस्त आईये फेहराएँ हर घर तिरंगा और मनाएं आज़ादी का अमृत महोत्सव|"
565,AD-ARWINF,Congratulations! We have credited 1GB FREE DATA coupon to your account. Claim now on the Airtel Thanks App before the coupon expires. i.airtel.in/freedata
566,AD-AIRTEL,"We are committed to make your experience beautiful with Airtel. For any assistance, please contact our team of expert advisors by dialing 198/121 from your Airtel number. In case if you are not satisfied with the resolution provided by the call centre, you can contact the Appellate authority on the same number."
567,AD-PARSJW,Paras Jewellers OFFER Your resume has passed. You can 2000-6000 by completing simple tasks each day.Click: http://wa.me/918750072708 Call
568,AX-HDFCBN,"Hey Mohd, thank you for banking with HDFC Bank.
You are now eligible for an HDFC Bank Credit Card without documentation.
Check your here:  hdfcbk.io/a/YM3yjNo"
569,AX-HDFCBN,"Hey Mohd, thank you for banking with HDFC Bank.
You are now eligible for an HDFC Bank Credit Card without documentation.
Check your here:  hdfcbk.io/a/YM3yjNo"
570,503501,[HeyFun]Your verification code is 890760. It is valid for 25 minutes.Go and start your HeyFun journey!
571,AY-ARWGOV,"Join hands with NCB in making India a drug free society. Please click on the link https://pledge.mygov.in/fightagainstdrugabuse/. Take the pledge and be a warrior in the fight against Drug Abuse. Narcotics Control Bureau, Indore Zone"
572,AD-ARWINF,Congratulations! We have credited 1GB FREE DATA coupon to your account. Claim now on the Airtel Thanks App before the coupon expires. i.airtel.in/freedata
573,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App i.airtel.in/Get-Data
574,JM-UNIONB,Your SB A/c *1487 Credited for Rs:22164 on 06-08-2022 18:34:19 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN322218210553 Avl Bal Rs:609504.41 -Union Bank of India
575,AD-ARWINF,Congratulations! We have credited 1GB FREE DATA coupon to your account. Claim now on the Airtel Thanks App before the coupon expires. i.airtel.in/freedata
576,AD-AIRDOT,"While receiving an international call, if an Indian number or no number is displayed on your phone, please inform on the DoT tollfree number 1800110420/1963."
577,AD-ARWGOV,आज़ादी के अमृत महोत्सव में भागीदार बनें और हर घर तिरंगा अभियान में भाग लेते हुए www.harghartiranga.com पर सेल्फी अपलोड करें।
578,AX-HDFCBK,HDFC Bank: Rs 150.00 debited from a/c **2346 on 15-08-22 to VPA 9516561446@ybl(UPI Ref No 222727149155). Not you? Call on 18002586161 to report
579,AD-ARWINF,Congratulations! We have credited 1GB FREE DATA coupon to your account. Claim now on the Airtel Thanks App before the coupon expires. i.airtel.in/freedata
580,AD-ARXTRM,Ind v Zim 1st ODI LIVE on Airtel Xstream. Download Airtel Xstream App and Claim your SonyLIV subscription at no extra cost. Click open.airtelxstream.in/XMPV2
581,VK-HDFCBK,HDFC Bank: Rs 8000.00 debited from a/c **2346 on 18-08-22 to VPA indianinstituteoftechnologymadras.rzp@sbi(UPI Ref No 223046787230). Not you? Call on 18002586161 to report
582,VK-HDFCBK,"UPDATE: INR 8,000.00 debited from HDFC Bank XX2346 on 18-AUG-22. Info: UPI-Indian Institute Of -indianinstituteoftechnologymadras.rzp@sbi-SBIN0016209-223046787230-IITMadrasIITMadras. Avl bal:INR 11,532.98"
583,AX-HDFCBK,"Update! INR 8,000.00 deposited in HDFC Bank A/c XX2346 on 18-AUG-22 for UPI-JAVED KHAN SO SHABBI-7415822208@ybl-BKID0008822-223046487673-Payment from Phone.Avl bal INR 19,532.98. Cheque deposits in A/C are subject to clearing"
584,AX-HDFCBK,HDFC Bank: Rs. 8000.00 credited to a/c XXXXXX2346 on 18-08-22 by a/c linked to VPA 7415822208@ybl (UPI Ref No  223046487673).
585,AD-AIRTEL,यदि आपके पास केवाईसी दस्तावेजों/यूजर आईडी/पासवर्ड/डेबिट कार्ड संख्या/पिन/सीवीवी/ओटीपी आदि को अपडेट या सत्यापित करने संबंधी कोई ई-मेल/मैसेज में एम्बेडेड लिंक/कॉल आते हैं तो कभी भी इनका उत्तर ना दें। यदि आपने अनजाने में अपनी प्रामाणिकता उजागर कर दी हो तो तत्काल अपने पासवर्ड/सीवीवी/पिन को बदल दें।
586,AX-ABRSCH,"DearStudent
you have passed our interview, you can get 8000 Rs/Day. Please contact to discuss detail:https://wa.me/918537946835
ABRFoundationSchool"
587,AD-ARWINF,Congratulations! We have credited 1GB FREE DATA coupon to your account. Claim now on the Airtel Thanks App before the coupon expires. i.airtel.in/freedata
588,VD-HDFCBN,"Hey Mohd, Do you know the banking privileges of your HDFC Bank A/c?
You get a are pre-approved Credit Card without documentation.
Check:  hdfcbk.io/a/vpGo9bN5"
589,AY-AIRTRF,"Best offers for you
1 118=12GB,existingpack
2 58=3GB,existingpack
3 148=15GB,existingpack
4 301=50GB,existingpack
5 Rs499=Hotstar Mob, 1Y
6 699=UL call+3GB/D,56D
7 839=Hotstar Mob, 3M
8 2999=UL CL+2GB/D,365D
9 299=UL CL+2GB/D,28D

To check your balance, validity, call tariff and best recharges, dial *121*51# or download Airtel Thanks App, click www.airtel.in/5/LBNV"
590,AD-ARWINF,Congratulations! We have credited 1GB FREE DATA coupon to your account. Claim now on the Airtel Thanks App before the coupon expires. i.airtel.in/freedata
591,AD-ARWGOV,"For Internet Safety, RAHO DO KADAM AAGEY. Never click unknown link or share your Bank details. To know more, click here i.airtel.in/e/SafetyFirst . Issued in public interest by Google & Airtel."
592,AD-ARWINF,Last day to claim your FREE 1 GB data on the Airtel Thanks App! Claim it before it goes away and enjoy high-speed internet on your phone. Claim Now i.airtel.in/freedata
593,VK-UNIONB,Your SB A/c *1487 Credited for Rs:64771 on 01-09-2022 21:00:29 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN322244868267 Avl Bal Rs:674275.41 -Union Bank of India
594,VK-UNIONB,Your SB A/c *1487 Credited for Rs:64771 on 01-09-2022 21:00:29 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN322244868267 Avl Bal Rs:674275.41 -Union Bank of India
595,AY-AIRTEL,हम हर दिन बेहतर हो रहे हैं! जल्द ही GAYTRI VIHAR-DEWAS में AIRTEL नेटवर्क अपग्रेड होने वाला है। आनंद लें बेहतर स्पीड का एयरटेल के बेहतरीन नेटवर्क के साथ। एयरटेल का बेहतरीन नेटवर्क चुनने के लिए धन्यवाद|
596,AD-AIRTEL,यदि आपके पास केवाईसी दस्तावेजों/यूजर आईडी/पासवर्ड/डेबिट कार्ड संख्या/पिन/सीवीवी/ओटीपी आदि को अपडेट या सत्यापित करने संबंधी कोई ई-मेल/मैसेज में एम्बेडेड लिंक/कॉल आते हैं तो कभी भी इनका उत्तर ना दें। यदि आपने अनजाने में अपनी प्रामाणिकता उजागर कर दी हो तो तत्काल अपने पासवर्ड/सीवीवी/पिन को बदल दें।
597,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App i.airtel.in/Get-Data
598,AD-TRAIND,ध्यान रखें कि TRAI मोबाइल टॉवर लगाने के लिए NOC जारी नहीं करता है। यदि कोई धोखे से आपको इस तरह के पत्र के साथ संपर्क करता है तो यह विषय संबंधित मोबाइल सेवा प्रदाता को सूचित किया जा सकता है।
599,AD-HDFCBK,HDFC Bank: Rs. 1.00 credited to a/c XXXXXX2346 on 14-09-22 by a/c linked to VPA 7415822208@ybl (UPI Ref No  225770554615).
600,AY-650007,"फ्री विंक एक्सेस आप जैसे म्यूज़िक लवर के लिए!सुनें लेटेस्ट गाने जैसे Kesariya और अपनी पसंदीदा हैलोट्यून सेट करे विंक ऐप पर|
open.wynk.in/WynkAcqSMS2"
601,AY-AIRTEL,50% Alert: You have consumed 50% of your daily high Speed Data limit. Track usage on Airtel Thanks App i.airtel.in/Get-Data
602,AY-AIRTEL,हम हर दिन बेहतर हो रहे हैं! जल्द ही GAYTRI VIHAR-DEWAS में AIRTEL नेटवर्क अपग्रेड होने वाला है। आनंद लें बेहतर स्पीड का एयरटेल के बेहतरीन नेटवर्क के साथ। एयरटेल का बेहतरीन नेटवर्क चुनने के लिए धन्यवाद|
603,AX-HDFCBN,"Hey Mohd, As an appreciation for being an HDFC Bank customer, you can take advantage of this special pre-approved Credit Card without documentation.
Check here:  hdfcbk.io/a/0nPV2YW2"
604,AZ-AIRTEL,Aapka Airtel Pack 29-Sep-22 tak manya hai. Aaj hi unlimited pack se recharge karein. Naye pack ki validity is pack ke baad hi shuri hogi i.airtel.in/FDPNew
605,AD-ARTLTV,"Airtel Xstream Mobile pack subscription will expire soon. Don't miss out on India Vs Zimbabwe ODI Series,KBC,Dr Arora & latest content. Renew today & claim your OTT subscription on Airtel Xstream App. https://i.airtel.in/Renewal-719"
606,AZ-AIRTEL,Aapke Airtel Pack ki validity 29-Sep-22 tak hai.Recharge na hone par sewayein band ho sakti hain.Recharge karein: i.airtel.in/FDPNew. Kar lia hai toh ignore karein
607,AZ-AIRTEL,Aapke Airtel Pack ki validity kal samapt hogi. Recharge na hone par outgoing sewa band ho jaegi. Recharge karein: i.airtel.in/FDPNew . Kar lia hai toh ignore karein
608,AD-ARTLTV,"Don?t miss out on India Vs Zimbabwe ODI Series,KBC,Dr Arora & latest content. Renew today & claim your OTT subscription on Airtel Xstream App. https://i.airtel.in/Renewal-719"
609,AZ-AIRTEL,Aapka Airtel Pack aaj samapt ho jaega. Sewa jaari rakhne ke liye Unlimited pack se recharge karein: i.airtel.in/FDPNew . Recharge kar liya toh ignore kare
610,AY-AIRTEL,"अब एयरटेल थैंक्स ऍप से अपने एयरटेल प्रीपेड मोबाइल अकाउंट का बैलेंस, वैधता, टैरिफ, रिचार्ज देख सकते हैं। अधिक जानकारी के लिए वीडियो गाइड देखें https://www.youtube.com/watch?v=A6jhW4i_VbI"
611,AZ-AIRTEL,Alert! Airtel No.8109108797 ki Outgoing/data sewayen band hai. Sewa shuru karein Unlimited Pack se recharge kar i.airtel.in/FDPNew Recharge kia toh ignore karein
612,AD-Airtel," Hi, recharge of Rs. 719 successfully credited to your Airtel number 8109108797, also the validity has been extended till 23-12-2022."
613,Airtel,"Recharge of INR 719.00 is successful for your Airtel Mobile on 01-10-2022 00:06, Transaction ID 996997691.Check your balance, validity, tariff and best recharges on Airtel Thanks App. Refer your friends to Airtel & earn Rs100 coupon i.airtel.in/ref"
614,Airtel,"Enjoy unlimited Local, STD & Roaming calls, 1.5GB/day data and 100 SMS. Pack valid for 84 days. Cashback of upto Rs80/month for 3 months with Airtel Mini Rewards123! Click i.airtel.in/Rwards123Also get 1 Xstream channel on Airtel Xstream App for 84 days. To claim, click open.airtelxstream.in/Xstream_Mobile"
615,AD-ARTLTV,"Congratulations on your recent recharge of Xstream mobile pack. Enjoy 84 DAYS of access to live sports, blockbusters movies and web-series like India Vs Zimbabwe ODI Series,KBC,Dr Arora & more on your Airtel Xstream app at no extra cost. To claim your benefit download the latest version of Airtel Xstream app https://open.airtelxstream.in/WCF719"
616,AD-WYNKED,Your FREE access to Wynk Premium is ACTIVE. Enjoy Ad free music with unlimited downloads & unlimited hello tunes: bit.ly/WynkPlat
617,AZ-AIRTEL,Alert! Airtel No.8109108797 par Incoming sewa 06-Oct-22 ko band ho jayegi. AAJ hi Unlimited Pack se recharge karein i.airtel.in/FDPNew Ignore if recharged
618,AY-AIRTEL,"GAYTRI VIHAR-DEWAS में एयरटेल का नेटवर्क अपग्रेड कर दिया है| अब आनंद लें और भी बेहतर नेटवर्क, VoLTE, इंडोर कवरेज और तेज़ डाटा स्पीड का|"
619,AD-ARTLTV,"Congratulations! Your, 719.0 recharge offers you FREE 83 DAYS of access to live sports, blockbusters hits like India Vs Zimbabwe ODI Series,KBC,Dr Arora & more on your Airtel Xstream app at no extra cost. Stream now. https://open.airtelxstream.in/WCF719ii"
620,AD-ARXTRM,"Congratulations. Your recent 719 recharge offers you FREE 84 days access to blockbusters hits like Top Content from SonyLIV,ErosNow,Lionsgate Play,hoichoi,manoramaMax & more and more on your Airtel Xstream app. Stream now. open.airtelxstream.in/XMPD1"
621,JM-UNIONB,Your SB A/c *1487 Credited for Rs:64771 on 03-10-2022 18:04:16 by NEFT/DIRECTORATE OF TREAS.UTR:SBIN422276837976 Avl Bal Rs:739028.71 -Union Bank of India
622,57575353,G-508450 is your Google verification code.
